step,age,wage
1,28,480000
2,28,480000
3,29,492000
4,29,492000
5,30,504300
6,30,504300
7,31,516908
8,31,516908
9,32,529830
10,32,529830
11,33,543076
12,33,543076
13,34,556653
14,34,556653
15,35,570569
16,35,570569
17,36,584833
18,36,584833
19,37,599454
20,37,599454
21,38,614441
22,38,614441
23,39,629802
24,39,629802
25,40,645547
26,40,645547
27,41,661685
28,41,661685
29,42,678227
30,42,678227
31,43,695183
32,43,695183
33,44,712563
34,44,712563
35,45,730377
36,46,748636
37,47,767352
38,48,786536
39,49,806199
40,50,826354
41,51,847013
42,52,868188
43,53,889893
44,54,912140
45,55,934944
46,56,958318
47,57,982276
48,58,1006832
49,59,1032003
50,60,1057803
51,61,0
52,62,0
53,63,0
54,64,0
55,65,0
56,66,0
57,67,0
58,68,0
59,69,0
60,70,0
