step,age,wage
1,30,600000
2,30,600000
3,31,615000
4,31,615000
5,32,630375
6,32,630375
7,33,646134
8,33,646134
9,34,662288
10,34,662288
11,34,662288
12,35,678845
13,35,678845
14,36,695816
15,36,695816
16,37,713211
17,37,713211
18,37,713211
19,38,731042
20,38,731042
21,39,749318
22,39,749318
23,40,768051
24,40,768051
25,41,787252
26,41,787252
27,41,787252
28,42,806933
29,42,806933
30,43,827107
31,43,827107
32,44,847784
33,44,847784
34,45,868979
35,45,868979
36,46,890703
37,47,912971
38,48,935795
39,49,959190
40,50,983170
41,51,1007749
42,52,1032943
43,53,1058766
44,54,1085236
45,55,1112366
46,56,1140176
47,57,1168680
48,58,1197897
49,59,1227844
50,60,1258541
51,61,0
52,62,0
53,63,0
54,64,0
55,65,0
56,66,0
57,67,0
58,68,0
59,69,0
60,70,0
