step,age,wage
1,20,240000
2,21,246000
3,21,246000
4,22,252150
5,23,258454
6,24,264915
7,24,264915
8,25,271538
9,26,278326
10,27,285285
11,27,285285
12,28,292417
13,29,299727
14,30,307220
15,30,307220
16,31,314901
17,32,322773
18,32,322773
19,33,330843
20,34,339114
21,35,347592
22,35,347592
23,36,356281
24,37,365188
25,38,374318
26,38,374318
27,39,383676
28,40,393268
29,41,403100
30,41,403100
31,42,413177
32,43,423507
33,44,434094
34,44,434094
35,45,444947
36,46,456070
37,47,467472
38,48,479159
39,49,491138
40,50,503416
41,51,516002
42,52,528902
43,53,542124
44,54,555677
45,55,569569
46,56,583808
47,57,598404
48,58,613364
49,59,628698
50,60,0
51,61,0
52,62,0
53,63,0
54,64,0
55,65,0
56,66,0
57,67,0
58,68,0
59,69,0
60,70,0
