step,age,wage
1,28,240000
2,28,240000
3,29,246000
4,29,246000
5,30,252150
6,30,252150
7,31,258454
8,31,258454
9,32,264915
10,32,264915
11,33,271538
12,33,271538
13,34,278326
14,34,278326
15,35,285285
16,35,285285
17,36,292417
18,36,292417
19,37,299727
20,37,299727
21,38,307220
22,38,307220
23,39,314901
24,39,314901
25,40,322773
26,40,322773
27,41,330843
28,41,330843
29,42,339114
30,42,339114
31,43,347592
32,43,347592
33,44,356281
34,44,356281
35,45,365188
36,46,374318
37,47,383676
38,48,393268
39,49,403100
40,50,413177
41,51,423507
42,52,434094
43,53,444947
44,54,456070
45,55,467472
46,56,479159
47,57,491138
48,58,503416
49,59,516002
50,60,0
51,61,0
52,62,0
53,63,0
54,64,0
55,65,0
56,66,0
57,67,0
58,68,0
59,69,0
60,70,0
