step,age,wage
1,25,360000
2,26,369000
3,26,369000
4,27,378225
5,27,378225
6,28,387681
7,29,397373
8,29,397373
9,30,407307
10,30,407307
11,31,417490
12,31,417490
13,32,427927
14,33,438625
15,33,438625
16,34,449591
17,34,449591
18,35,460830
19,36,472351
20,36,472351
21,37,484160
22,37,484160
23,38,496264
24,39,508671
25,39,508671
26,40,521387
27,40,521387
28,41,534422
29,41,534422
30,42,547783
31,43,561477
32,43,561477
33,44,575514
34,44,575514
35,45,589902
36,46,604649
37,47,619766
38,48,635260
39,49,651141
40,50,667420
41,51,684105
42,52,701208
43,53,718738
44,54,736707
45,55,755124
46,56,774002
47,57,793352
48,58,813186
49,59,833516
50,60,0
51,61,0
52,62,0
53,63,0
54,64,0
55,65,0
56,66,0
57,67,0
58,68,0
59,69,0
60,70,0
